listing_id,total_reviews,sentiment_positive_ratio,sentiment_neutral_ratio,sentiment_negative_ratio,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,average_sentiment_score,total_positive_reviews,intelligent_score
15400428,23,0.9565217391304348,0.043478260869565216,0,22,1,0,0.8274086956521738,22,0.922135652
15400534,258,0.9651162790697675,0.023255813953488372,0.011627906976744186,249,6,3,0.832327519,249,0.9287680232558139
15938812,16,1,0,0,16,0,0,0.8359687499999999,16,0.9507906249999999
16139284,3,1,0,0,3,0,0,0.9354,3,0.9806199999999999
16148886,366,0.953551913,0.030054644808743168,0.016393443,349,11,6,0.7547770491803278,349,0.8985642622950819
16224857,371,0.9892183288409704,0.010781671,0,367,4,0,0.8766708894878708,367,0.9565322641509434
16232581,243,0.9835390946502057,0.012345679012345678,0.004115226,239,3,1,0.8699641975308642,239,0.9511127160493827
17000524,323,0.9690402476780186,0.018575851393188854,0.012383901,313,6,4,0.8096616099071209,313,0.9243226315789473
17255511,331,0.9879154078549849,0.006042296,0.006042296,327,2,2,0.871725076,327,0.9542667673716012
17496192,604,0.9685430463576159,0.026490066225165563,0.004966887,585,16,3,0.8450574503311257,585,0.9346430629139072
17976543,117,0.9743589743589743,0.008547009,0.017094017094017096,114,1,2,0.8407461538461538,114,0.9368392307692307
18474693,296,0.9594594594594594,0.030405405405405407,0.010135135135135136,284,9,3,0.8095192567567568,284,0.9185314527027028
18747680,16,1,0,0,16,0,0,0.8736375,16,0.96209125
19545359,39,0.9487179487179487,0.051282051,0,37,2,0,0.7922307692307692,37,0.9068999999999999
19550914,43,1,0,0,43,0,0,0.9260511627906975,43,0.9778153488372092
19709913,43,1,0,0,43,0,0,0.8915697674418606,43,0.96747093
19729241,122,1,0,0,122,0,0,0.9205163934426229,122,0.9761549180327868
20138634,161,0.9565217391304348,0.018633540372670808,0.024844720496894408,154,3,4,0.7850857142857143,154,0.9094387577639752
20212761,3,1,0,0,3,0,0,0.7439,3,0.9231699999999999
20761088,101,0.9801980198019802,0.00990099,0.00990099,99,1,1,0.8551089108910891,99,0.9446514851485147
20965960,143,1,0,0,143,0,0,0.8788622377622378,143,0.9636586713286713
21376207,161,0.9875776397515528,0.00621118,0.00621118,159,1,1,0.8880105590062111,159,0.9589497515527948
21556659,85,0.9294117647058824,0.058823529411764705,0.011764705882352941,79,5,1,0.7311882352941178,79,0.8770035294117647
21799480,310,0.9870967741935484,0.009677419,0.003225806,306,3,1,0.8500209677419354,306,0.9472643548387095
22334766,113,0.9911504424778761,0.008849558,0,112,1,0,0.9161743362831858,112,0.9695425663716813
23092653,4,1,0,0,4,0,0,0.9134749999999999,4,0.9740424999999999
23092885,2,1,0,0,2,0,0,0.9789,0,
23398807,6,1,0,0,6,0,0,0.6824333333333333,6,0.9047299999999999
23526708,15,1,0,0,15,0,0,0.8496933333333332,15,0.954908
23576655,121,0.9669421487603306,0.008264463,0.024793388429752067,117,1,3,0.8402355371900827,117,0.9322359504132232
24156862,28,1,0,0,28,0,0,0.8406357142857143,28,0.9521907142857142
24185610,62,0.8870967741935484,0.064516129,0.048387097,55,4,3,0.7271354838709677,55,0.8503987096774193
24454463,90,0.9444444444444444,0.044444444444444446,0.011111111111111112,85,4,1,0.8346155555555554,85,0.9170513333333333
24519787,465,0.978494624,0.015053763440860216,0.006451613,455,7,3,0.8334789247311829,455,0.9371404516129032
24780348,260,0.9538461538461539,0.026923076923076925,0.019230769230769232,248,7,5,0.7746953846153846,248,0.9047163076923076
25135201,4,1,0,0,4,0,0,0.9070999999999999,4,0.9721299999999999
25808418,205,0.975609756,0.014634146341463415,0.009756098,200,3,2,0.8419931707317074,200,0.9379638048780488
26084729,273,0.9633699633699634,0.032967033,0.003663004,263,9,1,0.802184249,263,0.9186772527472526
26319307,206,0.9902912621359223,0,0.009708738,204,0,2,0.8847820388349515,204,0.9596093689320387
26413565,22,1,0,0,22,0,0,0.8460227272727271,22,0.9538068181818181
26660129,3,1,0,0,3,0,0,0.8464999999999999,3,0.95395
26685704,21,0.9047619047619048,0.095238095,0,19,2,0,0.7246285714285714,19,0.8602457142857142
26812545,19,0.8421052631578947,0.10526315789473684,0.052631579,16,2,1,0.7264947368421053,16,0.8232115789473683
27388869,9,1,0,0,9,0,0,0.7254111111111112,9,0.9176233333333333
27567630,182,0.989010989,0.010989011,0,180,2,0,0.8664362637362637,180,0.9533374725274725
27581061,169,0.9881656804733728,0.011834319526627219,0,167,2,0,0.9017242603550296,167,0.9634166863905326
27755983,78,0.9743589743589743,0.025641026,0,76,2,0,0.8969948717948717,76,0.953713846
27756174,3,1,0,0,3,0,0,0.9192666666666667,3,0.97578
27929828,118,0.9661016949152542,0.025423728813559324,0.008474576,114,3,1,0.8500754237288135,114,0.9346836440677965
28076757,20,0.85,0.05,0.1,17,1,2,0.6381050000000001,17,0.8014315
28179904,681,0.9779735682819384,0.013215859030837005,0.008810573,666,9,6,0.8761328928046989,666,0.9496240088105726
28538990,50,0.96,0.02,0.02,48,1,1,0.7935479999999999,48,0.9140643999999999
28541505,96,0.9895833333333334,0.010416666666666666,0,95,1,0,0.8749833333333333,95,0.9562449999999999
28565907,84,0.9166666666666666,0.05952381,0.023809523809523808,77,5,2,0.7267511904761904,77,0.868025357
28578397,439,0.9977220956719818,0.002277904,0,438,1,0,0.9042168564920273,438,0.9698983143507972
29075772,76,0.9473684210526315,0.052631579,0,72,4,0,0.7894460526315789,72,0.9052548684210525
29708205,253,0.9683794466403162,0.023715415019762844,0.007905138,245,6,2,0.8217134387351778,245,0.9275417
30129023,452,0.9778761061946902,0.019911504,0.002212389,442,9,1,0.8516526548672566,442,0.94222146
30553474,203,0.9655172413793104,0.034482758620689655,0,196,7,0,0.8260527093596058,196,0.927126158
30858316,124,0.9919354838709677,0.008064516,0,123,1,0,0.8988193548387097,123,0.9648070967741934
31022092,48,0.9791666666666666,0.020833333333333332,0,47,1,0,0.7896562500000001,47,0.9243968749999999
32359305,141,0.9858156028368794,0.007092199,0.007092199,139,1,1,0.8456297872340426,139,0.9451782978723403
32595692,155,0.9612903225806452,0.019354839,0.019354839,149,3,3,0.7768664516129032,149,0.909834129
32696197,21,1,0,0,21,0,0,0.9559285714285715,21,0.9867785714285714
32865110,124,0.9919354838709677,0,0.008064516,123,0,1,0.8386588709677418,123,0.946758952
33734664,128,0.9609375,0.0234375,0.015625,123,3,2,0.7942820312499999,123,0.9148471093749999
34309444,3,1,0,0,3,0,0,0.8928333333333334,3,0.96785
34332860,70,0.9714285714285714,0,0.028571429,68,0,2,0.7914671428571428,68,0.9202972857142856
34446916,63,0.9523809523809523,0.047619047619047616,0,60,3,0,0.8157682539682539,60,0.9161590476190475
34502134,2,1,0,0,2,0,0,0.66845,0,
34538157,8,0.875,0,0.125,7,0,1,0.6188125,7,0.81064375
34783374,188,0.9787234042553191,0.021276596,0,184,4,0,0.8735388297872341,184,0.9492956914893617
34909653,104,0.9423076923076923,0.038461538461538464,0.019230769230769232,98,4,2,0.73935,98,0.8871896153846154
34979495,440,0.9590909090909091,0.027272727,0.013636363636363636,422,12,6,0.7808993181818181,422,0.9097243409090908
35202237,1,1,0,0,1,0,0,0.9874,0,
35381749,26,0.7307692307692307,0.038461538461538464,0.23076923076923078,19,1,6,0.35960769230769224,19,0.6463438461538461
35413790,32,0.9375,0.03125,0.03125,30,1,1,0.683278125,30,0.8674834374999999
35463395,11,0.9090909090909091,0.090909091,0,10,1,0,0.8172818181818182,10,0.8906390909090909
35543616,9,1,0,0,9,0,0,0.8759999999999999,9,0.9628
35843542,36,0.9166666666666666,0.055555556,0.027777777777777776,33,2,1,0.7131722222222222,33,0.8639516666666666
36392564,100,0.96,0.02,0.02,96,2,2,0.7661350000000001,96,0.9058404999999999
36446406,136,0.9338235294117647,0.036764706,0.029411764705882353,127,5,4,0.7489316176470588,127,0.8849736029411764
36446537,26,0.6923076923076923,0.19230769230769232,0.11538461538461539,18,5,3,0.4140538461538462,18,0.6396007692307691
36689889,12,0.4166666666666667,0.3333333333333333,0.25,5,4,3,0.19359999999999997,5,0.40808
36723553,128,0.9921875,0.0078125,0,127,1,0,0.8711289062500001,127,0.956651172
36799009,72,0.9722222222222222,0,0.027777777777777776,70,0,2,0.7860541666666667,70,0.9191495833333333
37278360,36,0.9722222222222222,0,0.027777777777777776,35,0,1,0.8335666666666667,35,0.9334033333333333
37336702,390,0.9871794871794872,0.010256410256410256,0.002564103,385,4,1,0.8488912820512822,385,0.9469750769230769
37807346,72,0.9027777777777778,0.055555556,0.041666666666666664,65,4,3,0.7551569444444445,65,0.8682137499999999
38389142,46,0.9347826086956522,0.043478260869565216,0.021739130434782608,43,2,1,0.8030130434782609,43,0.9017734782608695
38571763,11,0.8181818181818182,0.18181818181818182,0,9,2,0,0.7605181818181816,9,0.8190645454545454
38823886,12,0.9166666666666666,0.083333333,0,11,1,0,0.8073,11,0.8921899999999999
39020081,631,0.9809825673534073,0.017432646592709985,0.001584786,619,11,1,0.8422483359746433,619,0.9412640412044374
39127033,18,1,0,0,18,0,0,0.8212333333333333,18,0.9463699999999999
39202542,200,0.985,0.01,0.005,197,2,1,0.8437175,197,0.94411525
39606319,254,0.968503937,0.019685039,0.011811023622047244,246,5,3,0.7975322834645668,246,0.9203620472440943
40233343,3,1,0,0,3,0,0,0.7357,3,0.9207099999999999
40291213,212,0.9952830188679245,0.004716981,0,211,1,0,0.8900957547169812,211,0.964198538
40620172,128,0.953125,0.046875,0,122,6,0,0.808154688,122,0.9143214062499999
40637180,9,1,0,0,9,0,0,0.7579888888888889,9,0.9273966666666666
40936061,32,0.75,0.125,0.125,24,4,4,0.49798125,24,0.6993943749999999
41264623,233,0.9184549356223176,0.042918455,0.038626609,214,10,9,0.7250094420600857,214,0.8685757939914163
41422819,46,0.9565217391304348,0.043478260869565216,0,44,2,0,0.8111173913043477,44,0.9172482608695651
41564701,31,0.967741935,0,0.032258065,30,0,1,0.8261419354838709,30,0.9284877419354839
42097167,32,0.9375,0.03125,0.03125,30,1,1,0.7992125,30,0.90226375
42157314,78,0.9743589743589743,0,0.025641026,76,0,2,0.7565615384615384,76,0.911583846
42451917,3,1,0,0,3,0,0,0.9166,3,0.97498
42775398,2,1,0,0,2,0,0,0.9209,0,
42999407,440,0.9818181818181818,0.011363636363636364,0.006818182,432,5,3,0.8523645454545454,432,0.9448002727272727
43051665,50,0.92,0.04,0.04,46,2,2,0.732186,46,0.8716558
43087169,1,1,0,0,1,0,0,0.9211,0,
43115699,28,0.9285714285714286,0.071428571,0,26,2,0,0.7575464285714285,26,0.8844067857142857
43158104,19,1,0,0,19,0,0,0.8468947368421054,19,0.9540684210526316
43306646,128,0.9609375,0.015625,0.0234375,123,2,3,0.798896875,123,0.9162315624999999
43575684,2,1,0,0,2,0,0,0.73375,0,
43741632,42,0.8809523809523809,0.071428571,0.047619047619047616,37,3,2,0.7025261904761906,37,0.8393292857142857
43792332,29,0.7241379310344828,0.034482758620689655,0.2413793103448276,21,1,7,0.4033758620689655,21,0.6554955172413792
43909004,3,1,0,0,3,0,0,0.8428333333333334,3,0.95285
43947327,10,1,0,0,10,0,0,0.94169,10,0.9825069999999999
43969809,102,0.9901960784313726,0.009803922,0,101,1,0,0.8525725490196079,101,0.9498894117647059
44019190,42,0.9523809523809523,0.047619047619047616,0,40,2,0,0.7360261904761906,40,0.8922364285714285
44100363,12,1,0,0,12,0,0,0.7729750000000001,12,0.9318924999999999
44316040,25,1,0,0,25,0,0,0.863364,25,0.9590092
44361368,292,0.9691780821917808,0.023972602739726026,0.006849315,283,7,2,0.8197763698630137,283,0.9274397602739726
44361402,176,0.9772727272727273,0,0.022727272727272728,172,0,4,0.8423903409090908,172,0.9390807386363635
44376973,172,0.9825581395348837,0.005813953,0.011627906976744186,169,1,2,0.872264535,169,0.9512142441860465
44579633,147,0.9795918367346939,0.006802721,0.013605442176870748,144,1,2,0.8285353741496599,144,0.9363157142857143
44684096,3,1,0,0,3,0,0,0.9560333333333334,3,0.98681
45052852,1,1,0,0,1,0,0,0.8118,0,
45206266,15,1,0,0,15,0,0,0.8618,15,0.95854
45207718,8,0.875,0,0.125,7,0,1,0.7245125,7,0.84235375
45207849,52,0.9423076923076923,0.057692307692307696,0,49,3,0,0.8262711538461538,49,0.9132659615384615
45216545,1,1,0,0,1,0,0,0.9554,0,
45420901,29,0.896551724,0.068965517,0.034482758620689655,26,2,1,0.6920655172413793,26,0.8455506896551723
45655886,237,0.9578059071729957,0.037974684,0.004219409,227,9,1,0.7695033755274261,227,0.9055345569620252
46104839,87,0.7241379310344828,0.27586206896551724,0,63,24,0,0.4593367816091952,63,0.6722837931034482
46273970,76,0.9736842105263158,0.026315789,0,74,2,0,0.7651302631578947,74,0.9137496052631578
46314407,103,1,0,0,103,0,0,0.8903184466019417,103,0.9670955339805825
46371956,271,0.9630996309963099,0.025830258302583026,0.011070111,261,7,3,0.7815306273062731,261,0.9123189667896678
46374421,464,0.9698275862068966,0.019396552,0.010775862068965518,450,9,5,0.7766019396551724,450,0.9148771336206896
